task_id,expected_resolution,must_escalate,required_evidence,category,issue,severity,expected_action
TASK-DEV-0012,escalate,True,"[""CASE-PREV-2783"", ""DOC-1842"", ""TXN-PREV-5131""]",billing,previous_agent_wrong,high,"{""tool"": ""escalate_case"", ""params"": {""case_id"": ""CASE-ESCALATE-TXN-PREV-5131"", ""team"": ""billing_specialists"", ""reason"": ""prior ticket CASE-PREV-2783 applied invalid precedent; active chargeback on TXN-PREV-5131 requires escalation per DOC-1842""}}"
TASK-DEV-0013,deny,False,"[""DOC-1002"", ""TXN-DUP-A-5685"", ""TXN-DUP-B-2521""]",billing,duplicate_payment,low,"{""tool"": ""none"", ""params"": {}}"
TASK-DEV-0014,request_info,False,"[""DOC-1001""]",billing,refund_request,low,"{""tool"": ""request_verification"", ""params"": {""customer_id"": ""CUS-1001053""}}"
TASK-DEV-0015,deny,False,"[""DOC-1003"", ""SUB-CAN-9496""]",subscription,cancellation,medium,"{""tool"": ""none"", ""params"": {}}"
TASK-DEV-0016,escalate,True,"[""DOC-1004"", ""DOC-2001"", ""TXN-DEL-9980""]",fulfillment,delivery_dispute,high,"{""tool"": ""escalate_case"", ""params"": {""case_id"": ""CASE-TXN-DEL-9980"", ""team"": ""logistics_investigations"", ""reason"": ""signed courier proof of delivery on file for TXN-DEL-9980 requires investigation per DOC-1004""}}"
TASK-DEV-0017,request_info,False,"[""CUS-1001013"", ""DOC-1005""]",security,fraud_suspicion,medium,"{""tool"": ""request_verification"", ""params"": {""customer_id"": ""CUS-1001013"", ""verification_type"": ""identity""}}"
TASK-DEV-0018,escalate,True,"[""CASE-PREV-5784"", ""DOC-1842"", ""TXN-PREV-7244""]",billing,previous_agent_wrong,high,"{""tool"": ""escalate_case"", ""params"": {""case_id"": ""CASE-ESCALATE-TXN-PREV-7244"", ""team"": ""billing_specialists"", ""reason"": ""prior ticket CASE-PREV-5784 applied invalid precedent; active chargeback on TXN-PREV-7244 requires escalation per DOC-1842""}}"
TASK-DEV-0019,request_info,False,"[""DOC-1002""]",billing,duplicate_payment,medium,"{""tool"": ""request_verification"", ""params"": {""customer_id"": ""CUS-1001040""}}"
TASK-DEV-0020,escalate,True,"[""DOC-1842"", ""TXN-REF-8507""]",billing,refund_request,high,"{""tool"": ""escalate_case"", ""params"": {""case_id"": ""CASE-TXN-REF-8507"", ""team"": ""billing_specialists"", ""reason"": ""active chargeback investigation blocks automatic refund on TXN-REF-8507 per DOC-1842""}}"
TASK-DEV-0021,refund,False,"[""DOC-1003"", ""SUB-CAN-5593""]",subscription,cancellation,medium,"{""tool"": ""cancel_subscription"", ""params"": {""customer_id"": ""CUS-1001032"", ""subscription_id"": ""SUB-CAN-5593""}}"
TASK-DEV-0022,refund,False,"[""DOC-1004"", ""DOC-2001"", ""TXN-DEL-6389""]",fulfillment,delivery_dispute,medium,"{""tool"": ""issue_refund"", ""params"": {""transaction_id"": ""TXN-DEL-6389"", ""amount"": 249.0, ""reason"": ""lost in transit courier confirmed""}}"
TASK-DEV-0023,request_info,False,"[""CUS-1001004"", ""DOC-1005""]",security,fraud_suspicion,medium,"{""tool"": ""request_verification"", ""params"": {""customer_id"": ""CUS-1001004"", ""verification_type"": ""identity""}}"
TASK-DEV-0024,escalate,True,"[""CASE-PREV-5785"", ""DOC-1842"", ""TXN-PREV-1412""]",billing,previous_agent_wrong,high,"{""tool"": ""escalate_case"", ""params"": {""case_id"": ""CASE-ESCALATE-TXN-PREV-1412"", ""team"": ""billing_specialists"", ""reason"": ""prior ticket CASE-PREV-5785 applied invalid precedent; active chargeback on TXN-PREV-1412 requires escalation per DOC-1842""}}"
TASK-DEV-0025,refund,False,"[""DOC-1002"", ""TXN-DUP-A-7068"", ""TXN-DUP-B-3070""]",billing,duplicate_payment,medium,"{""tool"": ""issue_refund"", ""params"": {""transaction_id"": ""TXN-DUP-B-3070"", ""amount"": 99.0, ""reason"": ""duplicate payment refund""}}"
TASK-DEV-0026,deny,False,"[""DOC-1001"", ""TXN-REF-3232""]",billing,refund_request,low,"{""tool"": ""none"", ""params"": {}}"
TASK-DEV-0027,refund,False,"[""DOC-1003"", ""SUB-CAN-6420""]",subscription,cancellation,medium,"{""tool"": ""cancel_subscription"", ""params"": {""customer_id"": ""CUS-1001055"", ""subscription_id"": ""SUB-CAN-6420""}}"
TASK-DEV-0028,escalate,True,"[""DOC-1004"", ""DOC-2001"", ""TXN-DEL-6691""]",fulfillment,delivery_dispute,high,"{""tool"": ""escalate_case"", ""params"": {""case_id"": ""CASE-TXN-DEL-6691"", ""team"": ""logistics_investigations"", ""reason"": ""signed courier proof of delivery on file for TXN-DEL-6691 requires investigation per DOC-1004""}}"
TASK-DEV-0029,escalate,True,"[""CUS-1001044"", ""DOC-1005""]",security,fraud_suspicion,high,"{""tool"": ""escalate_case"", ""params"": {""case_id"": ""CASE-CUS-1001044"", ""team"": ""security_operations"", ""reason"": ""confirmed foreign unauthorized access on account CUS-1001044 per DOC-1005""}}"
TASK-DEV-0030,request_info,False,"[""DOC-1842""]",billing,previous_agent_wrong,low,"{""tool"": ""request_verification"", ""params"": {""customer_id"": ""CUS-1001013"", ""verification_type"": ""identity""}}"
