case_id,customer_id,date,category,resolution,agent_id,notes,was_correct,evidence_used
CASE-1008021,CUS-1001010,2026-07-05T00:00:00+00:00,duplicate_payment,resolved_explanation,AGT-101,Previous agent notes: Verified account credentials and advised customer on billing schedule.,True,"[""DOC-1001""]"
CASE-1008022,CUS-1001041,2026-08-17T00:00:00+00:00,delivery_dispute,resolved_explanation,AGT-102,Previous agent notes: Verified account credentials and advised customer on billing schedule.,True,"[""DOC-1001""]"
CASE-1008023,CUS-1001014,2026-07-20T00:00:00+00:00,duplicate_payment,resolved_explanation,AGT-103,Previous agent notes: Verified account credentials and advised customer on billing schedule.,True,"[""DOC-1001""]"
CASE-1008024,CUS-1001058,2026-06-09T00:00:00+00:00,cancellation,refunded,AGT-104,Previous agent notes: Issued full courtesy refund without checking active chargeback status. Customer sounded very upset so agent bypassed standard hold verification.,False,"[""DOC-0991""]"
CASE-1008025,CUS-1001035,2026-05-29T00:00:00+00:00,delivery_dispute,resolved_explanation,AGT-100,Previous agent notes: Verified account credentials and advised customer on billing schedule.,True,"[""DOC-1001""]"
CASE-1008026,CUS-1001022,2026-07-20T00:00:00+00:00,duplicate_payment,resolved_explanation,AGT-101,Previous agent notes: Verified account credentials and advised customer on billing schedule.,True,"[""DOC-1001""]"
CASE-1008027,CUS-1001055,2026-06-18T00:00:00+00:00,duplicate_payment,resolved_explanation,AGT-102,Previous agent notes: Verified account credentials and advised customer on billing schedule.,True,"[""DOC-1001""]"
CASE-1008028,CUS-1001014,2026-07-18T00:00:00+00:00,refund,refunded,AGT-103,Previous agent notes: Issued full courtesy refund without checking active chargeback status. Customer sounded very upset so agent bypassed standard hold verification.,False,"[""DOC-0991""]"
CASE-1008029,CUS-1001028,2026-07-22T00:00:00+00:00,delivery_dispute,resolved_explanation,AGT-104,Previous agent notes: Verified account credentials and advised customer on billing schedule.,True,"[""DOC-1001""]"
CASE-1008030,CUS-1001026,2026-08-05T00:00:00+00:00,delivery_dispute,resolved_explanation,AGT-100,Previous agent notes: Verified account credentials and advised customer on billing schedule.,True,"[""DOC-1001""]"
CASE-1008031,CUS-1001030,2026-07-28T00:00:00+00:00,delivery_dispute,resolved_explanation,AGT-101,Previous agent notes: Verified account credentials and advised customer on billing schedule.,True,"[""DOC-1001""]"
CASE-1008032,CUS-1001049,2026-05-24T00:00:00+00:00,refund,refunded,AGT-102,Previous agent notes: Issued full courtesy refund without checking active chargeback status. Customer sounded very upset so agent bypassed standard hold verification.,False,"[""DOC-0991""]"
CASE-1008033,CUS-1001049,2026-06-20T00:00:00+00:00,delivery_dispute,resolved_explanation,AGT-103,Previous agent notes: Verified account credentials and advised customer on billing schedule.,True,"[""DOC-1001""]"
CASE-1008034,CUS-1001014,2026-08-21T00:00:00+00:00,delivery_dispute,resolved_explanation,AGT-104,Previous agent notes: Verified account credentials and advised customer on billing schedule.,True,"[""DOC-1001""]"
CASE-1008035,CUS-1001036,2026-08-09T00:00:00+00:00,delivery_dispute,resolved_explanation,AGT-100,Previous agent notes: Verified account credentials and advised customer on billing schedule.,True,"[""DOC-1001""]"
CASE-1008036,CUS-1001021,2026-06-05T00:00:00+00:00,cancellation,refunded,AGT-101,Previous agent notes: Issued full courtesy refund without checking active chargeback status. Customer sounded very upset so agent bypassed standard hold verification.,False,"[""DOC-0991""]"
CASE-1008037,CUS-1001046,2026-06-18T00:00:00+00:00,cancellation,resolved_explanation,AGT-102,Previous agent notes: Verified account credentials and advised customer on billing schedule.,True,"[""DOC-1001""]"
CASE-1008038,CUS-1001050,2026-06-14T00:00:00+00:00,delivery_dispute,resolved_explanation,AGT-103,Previous agent notes: Verified account credentials and advised customer on billing schedule.,True,"[""DOC-1001""]"
CASE-1008039,CUS-1001028,2026-06-22T00:00:00+00:00,delivery_dispute,resolved_explanation,AGT-104,Previous agent notes: Verified account credentials and advised customer on billing schedule.,True,"[""DOC-1001""]"
